Time,XGyro,YGyro,ZGyro,XAccel,YAccel,ZAccel,XMag,YMag,ZMag
0.000,-21.17,-4.86,-24.82,0.0575,0.1213,-1.1551,0.5851,0.5865,-1.0592
0.000,-3.19,0.47,8.95,-0.0426,0.0980,-1.0281,0.2225,0.5115,-1.0121
0.000,-30.32,29.77,11.80,0.0571,0.0293,-1.3219,0.1556,0.6102,-1.1119
0.000,4.07,-6.69,-1.84,0.0150,0.1029,-0.9063,0.0837,0.7024,-1.0810
0.000,-1.01,-0.97,-8.90,0.0910,-0.0032,-1.1168,0.1332,0.6947,-1.0458
0.000,53.92,15.74,-18.85,0.1492,0.1070,-1.3130,0.1790,0.6181,-1.1107
0.000,-10.77,1.20,0.76,0.0436,0.1867,-0.9712,0.2196,0.6534,-1.0528
0.000,0.21,5.73,14.78,0.0610,0.0481,-1.1935,0.2645,0.6886,-1.1364
0.000,43.85,7.74,14.76,0.0566,0.0699,-1.1667,0.1516,0.7213,-1.0912
0.000,-30.06,1.95,-2.78,0.0608,0.1976,-1.1529,0.2238,0.7584,-1.0435
0.000,40.70,-6.61,-5.44,0.1877,0.0179,-0.8938,0.2923,0.6519,-1.0418
0.000,15.36,-0.26,-17.11,0.2302,0.0747,-1.4577,0.2968,0.6714,-1.0163
0.000,-5.83,6.17,8.77,0.0272,0.2263,-1.0374,0.3476,0.5362,-1.0348
0.000,-10.26,-11.09,21.58,0.0440,0.1945,-1.0769,0.3990,0.6761,-1.0422
0.000,-12.70,-28.49,-0.62,0.0943,0.1784,-1.2182,0.3395,0.7203,-1.0279
0.000,-1.24,-9.79,-4.48,0.0624,0.1230,-1.0077,0.3051,0.6676,-1.0283
0.000,12.68,4.01,-23.19,0.1883,0.0623,-1.1119,0.3820,0.6752,-1.0469
0.000,3.37,-2.93,-13.75,0.1545,0.1942,-1.2004,0.3724,0.7413,-1.0379
0.000,-7.88,4.75,3.79,0.0750,0.2342,-1.0123,0.4418,0.7246,-1.0135
0.000,-1.16,8.42,15.21,0.0948,0.0647,-0.9600,0.4703,0.6436,-1.0099
0.000,12.14,6.21,30.51,0.1098,0.1719,-1.1546,0.3820,0.7188,-0.9853
0.000,-4.05,-10.89,-6.50,0.1384,0.2255,-0.9796,0.4769,0.7249,-0.9723
0.000,14.59,-23.21,-21.06,0.1306,0.1527,-0.8075,0.4639,0.7399,-1.0483
0.000,-3.37,-12.01,0.35,0.1613,0.0005,-1.1886,0.3831,0.6808,-1.0885
0.000,1.57,7.57,-16.68,0.1041,0.1251,-1.2393,0.4243,0.6383,-1.0593
0.000,-16.29,13.69,-7.52,0.0503,0.2091,-1.0993,0.4144,0.5883,-1.0962
0.000,-2.90,-4.01,22.25,0.0697,0.0145,-0.9972,0.5681,0.5657,-1.0284
0.000,1.27,3.48,-7.73,0.1445,0.0246,-1.2520,0.3570,0.6151,-1.0611
0.000,-5.26,-9.50,20.62,0.0109,0.0944,-1.2356,0.3227,0.5689,-1.0187
0.000,36.83,-5.43,-7.11,0.0740,0.1375,-0.8495,0.2988,0.6486,-1.0653
0.000,2.09,3.05,5.59,0.0961,-0.0567,-1.0952,0.2263,0.6350,-1.1123
0.000,-9.97,-19.74,-5.32,0.1048,0.0758,-1.2960,0.2890,0.5939,-1.0300
0.000,-34.21,2.57,2.46,-0.0115,0.1475,-1.2162,0.3628,0.5740,-1.0344
0.000,-19.46,4.21,1.47,0.0267,0.1554,-1.0563,0.3396,0.5965,-1.0443
0.000,-4.87,4.29,15.40,0.0274,0.0374,-0.9438,0.3242,0.5916,-1.0888
0.000,12.01,10.48,1.92,0.1171,-0.0268,-1.1697,0.3372,0.5934,-1.0069
0.000,-22.61,-7.35,29.53,0.0542,0.0711,-1.3661,0.3408,0.6151,-1.0298
0.000,-13.12,-4.77,-3.65,0.0574,0.0934,-1.0431,0.3610,0.5224,-1.0863
0.000,17.39,4.76,-9.53,0.0854,0.1225,-0.8118,0.4633,0.6099,-0.9649
0.000,20.51,-12.09,-12.79,0.1406,0.0725,-1.1803,0.5065,0.6212,-0.9552
0.000,-51.56,-0.78,-3.72,0.0396,0.2365,-1.2592,0.5006,0.6186,-1.0163
0.000,-3.83,-2.18,-6.82,0.0629,0.2117,-0.9991,0.5324,0.5576,-0.9893
0.000,4.40,-9.80,4.82,0.0515,-0.0088,-1.0793,0.4631,0.5781,-0.9758
